customer_id,usage_mb,avg_usage_mb,device_age_days,num_devices_30d,failed_payments_7d,account_age_days,login_hour,distance_from_usual_km,mac_address,label
CUST-F-01252,12536.598455499983,1170.073052846331,5,17,4,38,23,50.0,FF:FF:FF:B8:69:34,1
CUST-L-04684,1305.2630635085227,1273.4453525395777,860,3,0,1875,9,11.128402810721155,AA:BB:CC:BE:A9:33,0
CUST-L-01731,1490.7502457747446,1469.8473489557405,536,5,0,2631,15,1.2347448277414435,AA:BB:CC:FD:01:8D,0
CUST-L-04742,1468.5640039056568,1139.645963092024,1117,3,0,966,12,0.06385710763477419,AA:BB:CC:92:BD:A0,0
CUST-L-04521,1595.50776797242,1389.125871950871,782,6,0,2188,14,3.14194257033696,AA:BB:CC:C2:66:45,0
CUST-F-01340,12189.243091459795,1483.3478189477382,0,13,5,20,1,72.85044726186626,FF:FF:FF:0D:BF:AD,1
CUST-L-00576,1900.8558300036511,1621.5720273919294,227,6,0,310,0,0.6271498113793456,AA:BB:CC:45:FB:2A,0
CUST-F-00202,15178.385898253684,1128.5422729215675,0,18,4,42,0,154.67724658089384,FF:FF:FF:1C:C5:91,1
CUST-F-01363,13810.985995449837,1622.170387512007,4,18,7,19,2,50.0,FF:FF:FF:8E:E1:5B,1
CUST-L-00439,1628.3671322084751,1645.1104180825541,261,5,0,2389,13,2.434726824611057,AA:BB:CC:0F:43:3F,0
CUST-L-02750,1617.448811204432,1293.3983879032096,459,3,0,194,10,2.7491190751783905,AA:BB:CC:D6:61:04,0
CUST-F-02487,6121.379130710253,967.9031970332524,3,8,3,10,3,265.50016485241,FF:FF:FF:F4:98:16,1
CUST-F-00272,10234.438414041215,1565.9690215933324,6,10,4,44,3,50.50043688678348,FF:FF:FF:BC:B7:CB,1
CUST-F-00653,15887.50046072253,1027.9978861473137,6,14,6,1,5,222.73388898772504,FF:FF:FF:6F:EF:A9,1
CUST-L-03999,1124.0084212964512,1530.364609727176,117,5,0,168,6,0.1829487367791732,AA:BB:CC:6D:A2:1C,0
CUST-F-01033,17172.319125038255,1788.9077711800198,3,9,5,15,5,128.2460359019096,FF:FF:FF:05:AB:5D,1
CUST-L-00582,1411.8663239543612,1950.634544398384,411,5,0,2965,17,0.004602574123265891,AA:BB:CC:9A:84:62,0
CUST-F-04930,8729.150384743301,500.0,4,19,4,10,0,64.90910904349666,FF:FF:FF:CD:59:75,1
CUST-F-02051,18209.314544781846,1988.7030257106035,2,19,5,14,0,56.3889582731964,FF:FF:FF:10:CD:13,1
CUST-F-03158,5000.0,1211.0018400301365,6,11,5,18,0,50.0,FF:FF:FF:8B:97:23,1
CUST-F-04896,5802.521999460442,1571.6991533352088,3,14,2,36,2,75.91416008361843,FF:FF:FF:B1:CE:3C,1
CUST-L-02249,1849.7016269651458,1349.6039421845167,264,5,0,1959,17,2.542872030332933,AA:BB:CC:89:FC:69,0
CUST-L-04640,1955.8574037927553,1503.417543750143,578,3,1,966,12,6.38047806587851,AA:BB:CC:8F:80:EF,0
CUST-F-04485,15762.775466321933,1506.63303773688,4,10,5,14,0,101.41329995577512,FF:FF:FF:7C:CC:AB,1
CUST-L-04947,1606.343686498637,1384.9032170841992,212,6,0,2623,23,2.6540282782797546,AA:BB:CC:2F:B8:66,0
CUST-F-04920,9480.208266708281,2208.160961836689,1,15,3,18,2,50.0,FF:FF:FF:B7:A3:5C,1
CUST-L-01963,1429.1609724666043,1636.674131200973,137,3,0,1267,21,1.187143441578937,AA:BB:CC:0E:8D:5F,0
CUST-F-03243,6406.125141149011,1073.9308645622982,4,9,4,21,4,75.54445031881698,FF:FF:FF:99:86:0E,1
CUST-F-01590,15321.356151937178,1105.5785757263232,2,9,4,34,4,50.0,FF:FF:FF:DF:CB:F0,1
CUST-F-03847,5703.095110879103,1921.8525794900345,6,12,5,3,4,100.14162709636071,FF:FF:FF:30:AC:3D,1
CUST-L-00321,1442.8046827484523,1042.0242429936948,786,5,0,2642,4,6.105603362263361,AA:BB:CC:C9:8E:87,0
CUST-L-02678,967.9756383570958,1379.1342128473095,257,3,0,1598,21,0.3924951890743005,AA:BB:CC:CE:B0:CB,0
CUST-L-04625,1616.5655043837646,1780.5060572197754,1022,3,0,2535,8,2.5709525730901923,AA:BB:CC:A5:B5:58,0
CUST-L-04949,1753.2603572078656,1364.6112987199863,433,4,0,2629,19,3.716680807629615,AA:BB:CC:E1:53:85,0
CUST-F-03328,12222.610926833402,1322.5280610369355,0,18,4,22,2,119.17770086252648,FF:FF:FF:1B:4E:E4,1
CUST-L-03337,1646.3974112413762,1471.1470505171617,564,6,0,98,23,8.714251897611605,AA:BB:CC:97:74:19,0
CUST-F-00589,9813.542648295692,1096.459965138832,6,19,2,37,3,50.0,FF:FF:FF:6D:D0:58,1
CUST-L-00251,1602.466665282153,1927.8980930700102,860,5,0,2090,18,1.0579705896276677,AA:BB:CC:03:B2:F7,0
CUST-L-03973,2010.237827528495,1149.4285500429423,873,6,0,942,10,2.1876053115569114,AA:BB:CC:B1:E5:E4,0
CUST-F-01630,14862.287528917146,962.186741939595,0,19,6,37,2,50.0,FF:FF:FF:A4:0D:24,1
CUST-F-00547,15422.292757727168,1289.9307468014213,2,18,2,22,4,282.84422894220614,FF:FF:FF:5C:4F:BA,1
CUST-L-00035,1838.6916878162674,1058.6267895279284,1179,3,0,2991,8,6.133922577098616,AA:BB:CC:9F:6E:33,0
CUST-F-03362,18170.793106905425,1686.0135579094301,0,19,2,12,3,50.0,FF:FF:FF:B5:B9:A6,1
CUST-L-01513,900.7599921330421,1458.6865677658297,742,3,0,2199,14,11.640615683998535,AA:BB:CC:CB:DF:23,0
CUST-F-04317,12349.56832335272,2058.213926744561,4,14,1,31,2,146.86827432461354,FF:FF:FF:B9:A6:51,1
CUST-L-00039,1695.1778363474104,1162.7578445506917,399,3,0,2265,14,3.8752847990705988,AA:BB:CC:27:7C:10,0
CUST-L-04819,1086.5695975397928,1178.0792018813056,359,4,0,1492,6,1.0788419498024389,AA:BB:CC:0D:5B:E0,0
CUST-L-03465,2119.1683606970005,1681.779752294039,873,3,0,1920,4,13.44478480618937,AA:BB:CC:8A:6B:2F,0
CUST-L-01760,1147.1399050069701,1765.1354883785884,365,6,0,1909,3,1.036027323683706,AA:BB:CC:3C:B6:05,0
CUST-L-02304,1610.8074179099713,1486.5727076292615,414,5,0,1765,13,3.450229302337683,AA:BB:CC:29:46:D4,0
CUST-L-03723,1773.3684015571944,1402.833892583823,486,5,0,2979,12,2.0042927978508844,AA:BB:CC:38:46:DF,0
CUST-F-03284,15810.545045711036,1507.8229483617376,6,9,7,1,3,196.5858317669593,FF:FF:FF:B0:9F:9B,1
CUST-L-04993,1296.8106173798906,1708.9110215166263,1123,5,0,1703,20,0.23376559370217642,AA:BB:CC:21:EA:66,0
CUST-F-03127,5718.055403402897,1078.4585575072063,3,8,1,34,1,263.8321044930255,FF:FF:FF:7E:55:E2,1
CUST-L-03032,1131.1477807921206,1662.406751875794,36,3,0,2082,18,3.0485303801752974,AA:BB:CC:59:94:95,0
CUST-F-02938,11704.586028154295,1456.0205139608502,5,8,3,24,5,223.06595907306104,FF:FF:FF:5A:5F:EB,1
CUST-L-03039,1478.4004222680635,1992.5790527561094,693,3,0,1485,2,1.6981110060054898,AA:BB:CC:8D:5E:05,0
CUST-F-04655,12183.669614608707,1176.3086758839636,2,13,4,41,1,190.0628558454319,FF:FF:FF:9F:A3:C3,1
CUST-L-02545,1353.8659317554466,1977.750490101689,599,6,0,2860,16,0.9298551617498957,AA:BB:CC:CD:71:2E,0
CUST-L-02592,1640.9474769614899,1535.5260964309564,643,3,0,194,23,1.567473728652919,AA:BB:CC:35:43:83,0
CUST-L-01188,1683.8896141423797,2014.3140961069807,1116,6,0,2971,12,0.17654470865127259,AA:BB:CC:60:00:2D,0
CUST-F-02966,13379.42472620326,1481.22980636128,3,11,9,14,2,295.1179441722465,FF:FF:FF:C3:78:2B,1
CUST-F-01077,19020.8080202738,2682.347871954225,6,14,2,14,4,50.0,FF:FF:FF:27:E3:A7,1
CUST-L-00107,1398.2900772298312,1386.029452767434,1073,6,0,1688,4,1.7313348159825446,AA:BB:CC:34:8A:A9,0
CUST-L-01315,2050.867751919006,2084.5279662303437,313,6,0,1926,10,1.0466958204470027,AA:BB:CC:E0:79:B0,0
CUST-F-03187,16541.557708186127,1354.551517700444,2,14,4,21,23,198.6926672250041,FF:FF:FF:FD:56:45,1
CUST-L-02753,1534.1625582426036,1496.0329272454326,122,6,0,511,9,3.434957701850431,AA:BB:CC:D2:BA:DE,0
CUST-F-04753,12342.078064364969,1733.0215948424016,3,13,2,43,5,78.58855558144725,FF:FF:FF:C5:BE:B1,1
CUST-F-01231,13294.47189608213,1789.3845740753704,4,10,4,33,2,209.93525747604315,FF:FF:FF:A2:26:B7,1
CUST-L-02876,1103.3412101737654,1376.5997303189106,174,6,0,656,10,0.6607375424557738,AA:BB:CC:A7:AD:91,0
CUST-F-00323,13467.122680653878,2025.1857987868264,3,19,2,40,2,800.0,FF:FF:FF:C9:DC:90,1
CUST-L-00799,1511.673962070438,1623.1106108014612,772,5,0,385,2,5.90966897670117,AA:BB:CC:CC:C9:30,0
CUST-L-03570,1717.7123949956167,1180.4866890133321,1122,4,0,366,2,1.196180971812042,AA:BB:CC:D8:AC:A8,0
CUST-L-02894,1301.3265542026222,1995.110750345713,1137,5,0,813,15,1.206166181963778,AA:BB:CC:B5:F3:18,0
CUST-L-02927,1583.0459187992462,1265.8637626474006,650,4,0,1052,4,4.574217773688211,AA:BB:CC:3B:21:90,0
CUST-F-03178,13614.313138492864,1910.6448295322516,0,9,3,4,3,176.19392998016164,FF:FF:FF:CB:81:88,1
CUST-L-00971,1468.145420813227,1552.8877863289379,689,5,0,912,13,2.105957751264098,AA:BB:CC:4D:AF:09,0
CUST-F-01687,14215.20644499813,958.8411498995871,3,19,4,9,2,50.0,FF:FF:FF:EB:99:46,1
CUST-F-03575,8130.579895638074,801.417985281337,4,13,4,24,0,63.98558503785462,FF:FF:FF:32:94:9F,1
CUST-L-02020,1504.4040419669134,1537.2045955816816,1099,6,0,766,4,3.229024354068317,AA:BB:CC:53:9C:6C,0
CUST-F-04054,13296.06249907214,1069.0240666651425,0,12,5,0,1,235.2730781915471,FF:FF:FF:FE:9F:D5,1
CUST-L-00952,1643.2588011800385,957.5511859218781,258,3,0,667,14,3.7059650833200264,AA:BB:CC:2B:05:EC,0
CUST-F-00359,5970.927112976502,1962.5604924101585,0,18,4,4,5,159.92545729877148,FF:FF:FF:7C:82:98,1
CUST-L-03857,1503.1006689547064,1782.7654653495852,230,6,2,320,1,1.3121642536237412,AA:BB:CC:74:41:A8,0
CUST-F-00861,10308.518068604875,1920.5080980286375,2,8,3,22,2,79.00255263978862,FF:FF:FF:54:B4:56,1
CUST-L-03145,1611.6976680180915,1463.476662866726,744,4,0,2044,13,5.116178107517571,AA:BB:CC:D3:69:3A,0
CUST-L-03305,1654.7875430303532,1655.7508315279324,1173,5,0,1036,21,1.6578058210691107,AA:BB:CC:40:6A:B1,0
CUST-L-03006,907.8951970774195,1529.7279025565788,160,5,0,1896,11,4.210593030940984,AA:BB:CC:37:14:FA,0
CUST-F-04001,12716.660180673925,1270.0863035596003,3,11,5,13,5,83.20663492635606,FF:FF:FF:BA:2E:8D,1
CUST-F-02770,9996.56977249205,1732.151295745299,3,18,4,5,4,742.1346099801312,FF:FF:FF:5B:32:06,1
CUST-F-02438,9089.91513602371,1591.3551774282087,2,10,3,4,1,50.0,FF:FF:FF:65:99:3D,1
CUST-F-02942,5527.448736861165,1320.7045907369932,3,17,6,28,2,288.4092619516389,FF:FF:FF:92:D5:0E,1
CUST-F-04238,16037.869433740507,989.8390799733152,4,16,2,7,4,50.0,FF:FF:FF:61:F7:C7,1
